ID	name-wide_target-LC_1	Q1 (Da)	Q3 (Da)	Formula	Ionization model	物质	Class I	物质一级分类	Class II	物质二级分类	Level	GCK1	GCK2	GCK3	GLAB1	GLAB2	GLAB3	GS1	GS2	GS3
meta_1	Indole-3-carboxylic acid*	160.04	116.05	C9H7NO2	[M-H]-	吲哚-3-甲酸*	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	1944032.929	1979856.452	1879086.33	2223746.384	2298833.615	2326583.735	2272038.929	2325155.093	2244837.463
meta_2	Broussonetine I	403.28	385.27	C20H38N2O6	[M+H]+	构树碱 I	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	2	27215765.38	25091185.46	25900858.26	29546968.3	32629470.41	30627228.78	27949550.77	28350876.54	26767345.72
meta_3	2(3H)-Benzothiazolone	150	122.01	C7H5NOS	[M-H]-	2-羟基苯并噻唑	Alkaloids	生物碱	Alkaloids	生物碱	1	80824.99312	151370.6573	114219.9638	127800.3576	162255.1123	133730.7846	63681.82849	92261.85297	143251.9895
meta_4	Indole-5-carboxylic acid*	160.04	116.05	C9H7NO2	[M-H]-	吲哚-5-甲酸*	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	1226301.524	1289238.565	1227836.743	1418516.302	1459830.432	1494737.731	1451484.836	1506611.256	1512947.927
meta_5	alanine betaine	118.08	72.08	C5H11NO2	[M+H]+	丙氨酸甜菜碱	Alkaloids	生物碱	Alkaloids	生物碱	1	13307298.52	12386177.82	12064937.23	14990231.37	14425632.14	15248217.94	11968198.61	11439356.05	12132046.79
meta_6	Indole-3-lactic acid	204.07	158.06	C11H11NO3	[M-H]-	吲哚-3-乳酸	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	7651708.427	6001180.476	8752977.324	10068652.1	10441099.66	9407604.502	9916601.644	10273491.33	7652895.94
meta_7	Tryptophol	160.08	130.07	C10H11NO	[M-H]-	色醇	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	181262.8588	184553.9695	199367.4198	187826.507	176655.982	180124.2668	185580.4828	201151.2396	175553.0243
meta_8	Broussonetine N	358.223660050875	358.2246	C18H33NO6	[M-H]-	构树碱 N	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	6608781.649	7251756.17	6846217.671	7847811.235	7449929.753	7793170.523	11354376.06	10552933.83	11180252.23
meta_9	Broussonetine L	524.31	362.25	C24H45NO11	[M+H]+	构树碱 L	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	2	906669.2256	830246.5802	1070734.219	631383.4245	904995.8011	521157.0879	635364.3281	539992.6758	813980.9109
meta_10	3-Hydroxy-3-acetonyloxindole	206.08	118.07	C11H11NO3	[M+H]+	3-羟基-3-乙酰甲基氧化吲哚	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	8250544.196	5477064.967	8808058.978	11327406.36	10718364.25	9638708.53	9759534.014	9189998.194	7194382.629
meta_11	Indole	118.07	91.05	C8H7N	[M+H]+	吲哚	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	8683443.324	7329063.292	7441160.672	4120968.614	8501133.535	4275590.537	4120157.091	8162830.878	7174819.085
meta_12	Broussonetine F	362.25	344.24	C18H35NO6	[M+H]+	构树碱 F	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	13958547.16	13553346.18	13434363.04	13526960.34	13753821.98	12644005.35	12879285.76	12900843.17	12726808.95
meta_13	Broussonetine O	344.24	326.23	C18H33NO5	[M+H]+	构树碱 O	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	4522581.603	4099557.597	5090804.91	3718773.328	3712066.575	3855575.415	4152250.239	4304130.779	3726998.447
meta_14	Broussonetine C	346.26	328.25	C18H35NO5	[M+H]+	构树碱 C	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	2	496673.6328	410887.4609	488777.0411	296252.485	329265.6669	321868.9002	350380.2938	380659.6226	320317.7905
meta_15	Zarzissine	136.06	119.04	C5H5N5	[M+H]+	1H-咪唑并(4,5-D)哒嗪-2-胺	Alkaloids	生物碱	Alkaloids	生物碱	1	2999309.436	3017618.493	2146303.991	2819604.248	3221608.761	2547356.003	2447543.969	1762029.755	2527494.077
meta_16	Betaine	118.09	58.07	C5H11NO2	[M+H]+	甜菜碱	Alkaloids	生物碱	Alkaloids	生物碱	2	3801409.518	3664836.621	3244139.218	5537529.334	5151819.858	5733534.042	4180045.718	4042596.59	3875714.889
meta_17	N-Monocinnamoylputrescine	219.15	131.05	C13H18N2O	[M+H]+	N-单肉桂酰基腐胺	Alkaloids	生物碱	Phenolamine	酚胺	2	104221.1993	112395.7711	131607.4574	68152.54208	96504.93637	66559.19916	167007.3966	159885.667	149864.2707
meta_18	Broussonetine Z	376.23	340.21	C18H33NO7	[M+H]+	构树碱 Z	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	14185586.29	12992205.5	14022370.03	12363255.04	12959405.56	12252023.48	12517481.2	12137761.85	12561270.13
meta_19	Broussonetine A	508.31	346.26	C24H45NO10	[M+H]+	构树碱 A	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	2311993.112	1860006.522	1621540.684	1838187.132	2193198.598	1515632.097	1413307.009	1463822.233	1793396.724
meta_20	Broussonetine E	362.26	344.25	C18H35NO6	[M+H]+	构树碱 E	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	2	12441895.02	11785549.49	12425628.38	11837427.87	11958147.56	11900233.26	12221228.9	11920479.69	11823187.48
meta_21	Broussonetine K	524.31	362.25	C24H45NO11	[M+H]+	构树碱 K	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	2	3128261.043	2848275.391	3141885.686	2220549.01	2561907.794	1847219.271	3142570.251	3290174.698	2915846.725
meta_22	Indole-3-carboxaldehyde	146.06	91.05	C9H7NO	[M+H]+	吲哚-3-甲醛	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	17444066.02	11310836.6	11009002.21	13810529.89	14435062.1	13816747.14	13615205.59	14387817.62	11068351.36
meta_23	Serotonin	177.1	160.08	C10H12N2O	[M+H]+	血清素; 5-羟色胺	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	11537530.93	6362000.072	15427514.92	12478034.52	10575539.75	10057638.1	12627123.38	15203713.55	7773954.091
meta_24	2-O-α-D-glucosyl-1-deoxynojirimycin*	326.15	164.09	C12H23NO9	[M+H]+	2-O-α-D-葡萄糖基-1-脱氧野尻霉素*	Alkaloids	生物碱	Piperidine alkaloids	哌啶类生物碱	3	96826.66411	91940.431	64518.14072	105495.0329	93740.36089	92717.07964	98248.73253	87635.78728	91220.23775
meta_25	6-O-α-D-galactosyl-1-deoxynojirimycin*	326.15	164.09	C12H23NO9	[M+H]+	6-O-D-半乳糖基-1-脱氧野尻霉素*	Alkaloids	生物碱	Piperidine alkaloids	哌啶类生物碱	3	96826.66411	91940.431	64518.14072	105495.0329	93740.36089	92717.07964	98248.73253	87635.78728	91220.23775
meta_26	Broussonetine J	445.29	427.28	C22H40N2O7	[M+H]+	构树碱 J	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	2986732.256	2168780.235	2861413.365	2811066.162	3075749.523	2916200.623	2362994.625	1941804.736	3146010.075
meta_27	3-Indolepropionic acid	190.09	118.07	C11H11NO2	[M+H]+	3-吲哚丙酸	Alkaloids	生物碱	Plumerane	吲哚类生物碱	2	258556.3094	190550.5656	196920.1103	271128.4711	269853.7018	257384.9396	215995.3174	260849.2663	156958.6677
meta_28	Methoxyvincadifformine	369.22	266.12	C22H28N2O3	[M+H]+	Methoxyvincadifformine	Alkaloids	生物碱	Plumerane	吲哚类生物碱	1	119124.3542	142299.3148	93247.59759	86524.06972	103791.9796	128224.5722	63408.58163	74522.30478	62922.084
meta_29	Broussonetine G	360.24	342.23	C18H33NO6	[M+H]+	构树碱 G	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	16818184.4	12640226.73	11988126	11824673.66	14816609.19	14158973.86	13131548.05	14873771.78	11902941.31
meta_30	1-[2-(furan-2-yl)-2-oxoethyl]-5-oxopyrroidine-2-carboxylic acid	238.07	210.08	C11H11NO5	[M+H]+	1-[2-(呋喃-2-基)-2-氧代乙基]-5-氧吡咯烷-2-羧酸	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	3	244552.8262	240362.1004	294617.6269	255993.4384	278448.629	269664.5951	384006.4994	370792.7416	418219.949
meta_31	Norepinephrine	170.08	107.05	C8H11NO3	[M+H]+	去甲基肾上腺素	Alkaloids	生物碱	Alkaloids	生物碱	1	342243.1549	321880.0268	340007.4858	388436.9684	390365.8972	342256.6931	358193.3259	313504.8037	356491.7819
meta_32	m-Aminophenylacetylene	118.06	91.05	C8H7N	[M+H]+	间氨基苯乙炔	Alkaloids	生物碱	Alkaloids	生物碱	2	7143856.591	5619046.672	5658597.051	6096072.546	6684900.014	6054106.221	6197624.335	5990022.341	5557038.031
meta_33	L-Tyramine	138.09	103.05	C8H11NO	[M+H]+	L-酪胺	Alkaloids	生物碱	Alkaloids	生物碱	1	3574494.534	3510486.926	3567160.385	3917858.194	3570315.18	3793032.805	3631013.35	3462480.904	3666943.209
meta_34	Broussonetine M	348.27	330.26	C18H37NO5	[M+H]+	构树碱 M	Alkaloids	生物碱	Pyrrole alkaloids	吡咯类生物碱	1	26930211.27	13787497.05	26357963.15	24950519.15	12049260.91	11829701	21990028.29	13660148.95	22107134.95
meta_35	2-O-α-D-galactosyl-1-deoxynojirimycin*	326.15	164.09	C12H23NO9	[M+H]+	2-O-α-D-半乳糖基-1-脱氧野尻霉素*	Alkaloids	生物碱	Piperidine alkaloids	哌啶类生物碱	3	83168.9901	87599.31329	88848.08024	93631.04806	93606.0926	89916.16609	82722.3773	85852.87833	84584.69618
